"Pacific/Honolulu","(GMT-10:00) Гавайи"
"America/Anchorage","(GMT-09:00) Аляска"
"America/Los_Angeles","(GMT-08:00) Тихуана, Нижная Калифорния"
"America/Phoenix","(GMT-07:00) Аризона"
"America/Denver","(GMT-07:00) Тихоокеанское время (США и Канада)"
"America/Chihuahua","(GMT-07:00) Ла Пас, Мазатлан, Чихуахуа"
"America/Mexico_City","(GMT-06:00) Гвалахара, Мехико, Монтеррей"
"America/Regina","(GMT-06:00) Саскачеван"
"America/Managua","(GMT-06:00) Центральная Америка"
"America/Chicago","(GMT-06:00) Центральное время (США и Канада)"
"America/Bogota","(GMT-05:00) Богота, Рио, Кито, Рио Бранко"
"America/New_York","(GMT-05:00) Восточное время (США и Канада)"
"America/Indianapolis","(GMT-05:00) Индиана (Восток)"
"America/Halifax","(GMT-04:00) Атлантическое время (Канада)"
"America/Caracas","(GMT-04:00) Каракас, Ла Пас"
"America/Santiago","(GMT-04:00) Сантьяго"
"America/St_Johns","(GMT-03:30) Ньюфаундленд"
"America/Godthab","(GMT-03:00) Гренландия"
"America/Buenos_Aires","(GMT-03:00) Буэнос Айрес, Джорджтаун"
"America/Sao_Paulo","(GMT-03:00) Бразилия"
"America/Noronha","(GMT-02:00) Среднеатлантическое время"
"Atlantic/Azores","(GMT-01:00) Азорские о-ва"
"Atlantic/Cape_Verde","(GMT-01:00) о-ва Зеленого мыса"
"GMT+00:00","(GMT) Время по Гринвичу: Дублин, Лондон, Лиссабон, Эдинбург"
"Africa/Casablanca","(GMT) Касабланка, Монровия"
"Europe/Belgrade","(GMT+01:00) Белград, Братислава, Будапешт, Любляна, Прага"
"Africa/Lagos","(GMT+01:00) Западная Центральная Африка"
"Europe/Paris","(GMT+01:00) Брюссель, Копенгаген, Мадрид, Париж"
"Europe/Berlin","(GMT+01:00) Амстердам, Берлин, Берн, Вена, Рим, Стокгольм"
"Europe/Sarajevo","(GMT+01:00) Варшава, Загреб, Сараево, Скопье"
"Asia/Jerusalem","(GMT+02:00) Иерусалим"
"Europe/Bucharest","(GMT+02:00) Бухарест"
"Europe/Istanbul","(GMT+02:00) Афины, Бухарест, Стамбул"
"Africa/Johannesburg","(GMT+02:00) Хараре, Претория"
"Europe/Helsinki","(GMT+02:00) Вильнюс, Рига, София, Таллинн, Хельсинки"
"Europe/Kiev","(GMT+02:00) Киев"
"Africa/Cairo","(GMT+02:00) Каир"
"Asia/Riyadh","(GMT+03:00) Кувейт, Эр-Рияд"
"Asia/Baghdad","(GMT+03:00) Багдад"
"Africa/Nairobi","(GMT+03:00) Найроби"
"Europe/Minsk","(GMT+03:00) Минск, Калининград"
"Asia/Tehran","(GMT+03:30) Тегеран"
"Asia/Muscat","(GMT+04:00) Абу-Даби, Мускат"
"Asia/Tbilisi","(GMT+04:00) Баку, Ереван, Тбилиси"
"Europe/Moscow" selected="selected","(GMT+04:00) Москва, Санкт-Петербург, Волгоград, Самара"
"Asia/Kabul","(GMT+04:30) Кабул"
"Asia/Aqtobe","(GMT+05:00) Актюбинск (Актобе)"
"Asia/Karachi","(GMT+05:00) Исламабад, Карачи, Ташкент"
"Asia/Calcutta","(GMT+05:30) Бомбей, Калькутта, Мадрас, Нью-Дели"
"Asia/Katmandu","(GMT+05:45) Катманду"
"Asia/Dhaka","(GMT+06:00) Дхака"
"Asia/Yekaterinburg","(GMT+06:00) Екатеринбург"
"Asia/Almaty","(GMT+06:00) Астана, Алматы"
"Asia/Colombo","(GMT+06:00) Шри Джаяварденепура"
"Asia/Rangoon","(GMT+06:30) Янгун (Рангун)"
"Asia/Bangkok","(GMT+07:00) Бангкок, Джакарта, Ханой"
"Asia/Novosibirsk","(GMT+07:00) Новосибирск"
"Asia/Hong_Kong","(GMT+08:00) Гонконг, Пекин, Урумчи"
"Australia/Perth","(GMT+08:00) Перт"
"Asia/Krasnoyarsk","(GMT+08:00) Красноярск"
"Asia/Singapore","(GMT+08:00) Куала-Лумпур, Сингапур"
"Asia/Taipei","(GMT+08:00) Тайпей"
"Asia/Irkutsk","(GMT+09:00) Иркутск"
"Asia/Tokyo","(GMT+09:00) Осака, Саппоро, Токио"
"Asia/Seoul","(GMT+09:00) Сеул"
"Australia/Darwin","(GMT+09:30) Дарвин"
"Australia/Adelaide","(GMT+09:30) Аделаида"
"Australia/Brisbane","(GMT+10:00) Брисбейн"
"Pacific/Guam","(GMT+10:00) Гуам, Порт Моресби"
"Asia/Yakutsk","(GMT+10:00) Якутск"
"Australia/Hobart","(GMT+10:00) Хобарт"
"Australia/Sydney","(GMT+10:00) Канберра, Мельбурн, Сидней"
"Asia/Vladivostok","(GMT+11:00) Владивосток, Сахалин"
"Pacific/Fiji","(GMT+12:00) Фиджи, Маршалловы о-ва"
"Asia/Magadan","(GMT+12:00) Магадан, Камчатка, Чукотка"
"Pacific/Auckland","(GMT+12:00) Окленд, Веллингтон"
"Pacific/Tongatapu","(GMT+13:00) Нуку-алофа"
"Pacific/Apia","(GMT+13:00) о. Мидуэй, Самоа"
